subdivision,no_match_count,no_match_area_acres,subdivision_review_count,avg_area_acres
508 PLYMOUTH ST,2,0.36,0,0.1823
5090 PATTERSON RD,2,0.46,0,0.2278
5317 GRAND CANYON RD NW,2,0.63,0,0.3138
"535, 537, & 539 GREENWOOD DR SW",2,0.67,0,0.3363
537 HARRIS ST NW,2,0.41,0,0.207
573 HARRIS ST NW,2,0.38,0,0.1923
595 GIBSON DR NW,2,0.34,0,0.1681
6.238 AC - KERR STREET NW,2,4.51,0,2.2563
600 OLD CENTERGROVE RD,2,0.34,0,0.1693
604 CHINA GROVE ROAD,2,0.59,0,0.2972
605 & 625 JACKSON STREET,2,0.96,0,0.4801
622 PARCEL AT AFTON VILLAGE,2,1.61,0,0.8027
624 SPRINGBROOK AVE,2,2.45,0,1.224
6800 NORTH DRIVE,2,0.96,0,0.4781
697 MAIN ST SW,2,0.43,0,0.2131
699 CENTRAL DR NW,2,0.16,0,0.0804
700 CHURCH ST,2,2.7,0,1.3493
700 DEATON ST,2,0.51,0,0.2558
703 BUICK AVENUE,2,1.98,0,0.9921
703 CENTRAL DR NW,2,0.3,0,0.1517
704 MARGATE AVE,2,0.52,0,0.2619
705 WEST AVE,2,0.42,0,0.2102
71 TULIP AVE SW,2,0.58,0,0.2878
7225 NC HWY 73 E,2,9.07,0,4.5335
755 SHASTA ST NW,2,0.17,0,0.0853
788 N MAIN ST,2,0.92,0,0.4582
7888 W FRANKLIN ST,2,0.52,0,0.2624
798 DAVIS ST,2,0.5,0,0.249
802 FARGO DR SW,2,0.55,0,0.2738
803 & 805 PACKARD AVE,2,0.51,0,0.2573
803 SKYLAND ST TOWNHOMES,2,0.27,0,0.1345
8300 W FRANKLIN ST,2,0.66,0,0.3312
85 HIGHLAND AVE SW,2,0.62,0,0.3111
8518 ORPHANAGE RD,2,0.82,0,0.4082
872 BURRAGE ROAD NE,2,0.99,0,0.4962
8800 CRESTWOOD DR,2,1.17,0,0.5844
900 MT OLIVET RD,2,0.4,0,0.198
907 LONGVIEW AVE,2,0.42,0,0.2117
909 VICTORIA AVE,2,0.51,0,0.2566
912 RHODE ISLAND,2,0.3,0,0.152
925 PINERIDGE STREET SE,2,0.49,0,0.2469
94 CHESTNUT DRIVE S.W.,2,0.19,0,0.0968
A'Della F. Penninger,2,0.78,0,0.391
A F HARTSELL ESTATE,2,0.5,0,0.2476
AC GRANT,2,0.71,0,0.3528
AFTON RIDGE PH III,2,65.74,0,32.8703
AFTON RIDGE PH III MAP II,2,45.44,0,22.7217
AFTON VILLAGE P/O LT 6 & LT 208A,2,0.38,0,0.1899
AFTON VILLAGE PARCEL 208F,2,0.13,0,0.0628
AFTON VILLAGE PH 4B MAP 2,2,0.19,0,0.0967
ALICE MEGGS AUSTIN ESTATE OF,2,5.84,0,2.9196
ALLAN A KING,2,0.49,0,0.2446
ALLEN TYNDALL JR & DORIS TYNDALL,2,0.36,0,0.1799
ANGELA WEBER GARRETT,2,6.86,0,3.4278
Anna Rogers Property,2,0.55,0,0.2731
ANNERA TERRACE,2,0.89,0,0.4438
ARMANDO BAUTISTA RUIZ,2,0.45,0,0.2273
ARTHUR J. FURR JR.,2,8.94,0,4.4679
ASC MIDLAND,2,14.42,0,7.2104
At&T Lease Parcel,2,0.45,0,0.2232
AUGUSTINE PROPERTIES LLC,2,0.53,0,0.2648
AUSTINS EXCHANGE,2,8.09,0,4.0472
AXIAL BONDS FARM,2,30.78,0,15.3905
B-EUDY-FUL INC,2,0.43,0,0.214
B.L. UMBERGER ESTATE BLK B SECT 6,2,7.12,0,3.5617
BARBEE INVESTMENTS LLC,2,2.11,0,1.0551
BARBOUR & FINK,2,3.03,0,1.5128
BARONE PROPERTY,2,25.81,0,12.9068
BARRINGER/LITTLE TEXAS,2,0.6,0,0.3018
BATTAGLIA ACRES,2,1.49,0,0.7457
BEAUMONT PARK SECT 1,2,0.55,0,0.2729
BERGERBURG BLK B,2,0.6,0,0.299
bessie l. Isenhour,2,4.92,0,2.4601
BETHEL GLEN PH III MAP1,2,1.34,0,0.6709
BETHEL GLEN PH III MP1,2,1.53,0,0.7675
BETTIE C OVERCASH,2,3.19,0,1.5962
BETTY B LEE PROPERTY,2,11.29,0,5.6433
BEVERLY HILLS EXT.,2,1.15,0,0.5734
BILLY EUGENE & DELORES H WATTS,2,5.83,0,2.9145
BL UMBERGER,2,2.55,0,1.2733
BLK A OAKDALE AVE,2,0.4,0,0.1997
BLK H WEST CONCORD,2,0.79,0,0.3974
BLK I LOCKE COTTON MILLS,2,0.22,0,0.109
BLOCK ONE,2,0.88,0,0.4407
BLUE HOUSE INVESTMENTS,2,0.41,0,0.2069
Boundary Survey,2,7.31,0,3.6545
BOWSER ESTATES,2,3.87,0,1.9344
BRIDGE POINTE,2,18.46,0,9.2289
BRIDGE POINTE PHASE 6,2,1.5,0,0.7514
BRIGEM LLC,2,51.3,0,25.6522
BRISTOL BLK D,2,0.58,0,0.2884
BROOKDALE BLK L,2,1.59,0,0.7969
BROOKDALE SECT 2 BLK P,2,0.56,0,0.28
BROOKDALE SECT 3 BLK S,2,1.4,0,0.7018
BROWN FARM SUB.,2,0.69,0,0.3439
BROWNFIELDS PROPERTY,2,0.84,0,0.4218
BURGER KING CORP EXCEPTION MAP,2,1.82,0,0.9122
BYRD/STEINBACHER PLAT,2,12.31,0,6.1559
BYRNE PROPERTIES RECOMBINATION,2,0.5,0,0.25
C M BOST,2,3.67,0,1.8331
C M SLOOP EST,2,0.73,0,0.3653
CABARRUS ACRES SEC TWO,2,1.81,0,0.9063
CABARRUS COUNTY ENTERPRISES,2,14.46,0,7.2284
CABARRUS WOMENS CENTER,2,0.75,0,0.3757
CAH HOLDINGS LLC,2,2.05,0,1.0261
CALDWELL CROSSING RETAIL,2,2.15,0,1.0774
CALEB J GOODMAN ESTATE,2,0.64,0,0.3196
CALOIA PARCELS ON COUNTRYWOOD PLACE,2,2.97,0,1.4829
CALVARY BAPTIST CHURCH KANNAPOLIS INC,2,27.84,0,13.9225
CANNON & BYRD,2,0.25,0,0.1251
CARL PETHEL PROP,2,4.45,0,2.2243
CAROL E. TAYLOR,2,1.03,0,0.5136
CAROLINA AIR PARK BLK C,2,0.51,0,0.2565
CAROLINA Air Park Dev.,2,0.34,0,0.1712
CAROLINA AIR PK BL H,2,0.33,0,0.1657
CAROLINA OIL COMPANY OF CONCORD INC,2,9.01,0,4.506
Cartersville recomb.,2,0.41,0,0.206
Carterville,2,0.47,0,0.2329
CASTLE & COOKE,2,0.64,0,0.3224
CASTLE & COOKE LLC,2,5.56,0,2.7814
CATABWA OIL COMPANY,2,4.78,0,2.3906
CATHY PAXTON TRACT,2,4.94,0,2.4675
CEJS LLC,2,3.74,0,1.8712
CENTER AT KINGS GRANT CROSSING (REV),2,1.04,0,0.521
CENTER AT KINGS GRANT CROSSING II,2,3.08,0,1.539
CENTER AT KINGS GRANT CROSSING II REV,2,2.95,0,1.4773
CENTERVARD,2,1.47,0,0.7353
CENTERVIEW ADDN,2,0.93,0,0.4633
CENTRAL PIEDMONT MANAGEMENT LLC,2,0.87,0,0.4333
CHAMBERS AVE,2,0.74,0,0.3725
CHARLES & STEPHANIE MORRIS PROPERTY,2,1.44,0,0.722
CHARLES A JAMES,2,7.96,0,3.9816
CHARLES G ALLEN ESTATE,2,10.29,0,5.1468
CHARLOTTE MOTOR SPEEDWAY INDUSTRIAL PARK,2,2.22,0,1.1078
"CHEN DEVELOPMENT, LLC",2,14.07,0,7.0355
CHRISTENBURY LT 74 & 75 RECOMB,2,0.87,0,0.4365
CHRISTOPHER TODD & NICOLE H REDMOND,2,0.8,0,0.4019
CHRUCH OF GOD PROPHECY,2,0.06,0,0.0312
CITY OF CONCORD FIRE STATION NO 10,2,5.19,0,2.5973
CITY OF KANNAPOLIS PROPERTY,2,5.09,0,2.5474
CK LAKEPOINTE CORP CENTER LLC,2,7.89,0,3.9451
CLINE INVESTMENT CO,2,7.39,0,3.6935
CLINEHEART-EXTENSION,2,0.6,0,0.2978
COLDWATER COMMERCIAL SUBD PH III,2,3.76,0,1.8796
COLDWATER COMMERCIAL SUBD.,2,1.87,0,0.9331
COLEBURG,2,0.26,0,0.1276
COLEMAN MILL,2,7.26,0,3.6311
Colonial Park,2,0.68,0,0.3385
COMMON GROUNDS,2,0.6,0,0.2991
COMMUNITY HOUSING CORPORATION OF CABARRUS #2,2,0.73,0,0.3636
CONCORD MILLS,2,43.25,0,21.6226
CONCORD MILLS OUTPARCEL E,2,4.93,0,2.4647
CONCORD PARKWAY SOUTH MAP 2,2,1.81,0,0.905
CONCORD PAVILION TRACTS 1A & 1B,2,2.33,0,1.1645
CONDO  BISCAYNE INDUSTRIAL PARK SUITES 100 & 200,2,0.36,0,0.178
CONDO @ HARRISBURG TOWN CENTER,2,0.02,0,0.0123
Convention Center Plaza,2,6.61,0,3.3042
CONVENTION CENTER PLAZA (RECOMB),2,5.46,0,2.7293
CONVENTION CENTER PLAZA LT 3,2,5.88,0,2.9413
COOK'S TRAILER PARK,2,1.35,0,0.673
COOK-POLK-BLACKMAN,2,0.22,0,0.1082
COPPERFIELD CENTER,2,1.58,0,0.791
COPPERFIELD INC,2,3.14,0,1.5687
COREVIS,2,2.93,0,1.465
COS WATERFORD ON THE ROCKY RIVER,2,24.83,0,12.4157
CROSSBOW CIRCLE & CAVALIER COURT,2,0.83,0,0.4144
CROSSFACE ACRES,2,4.76,0,2.3782
CRYSTAL BROWN WEAKS,2,0.36,0,0.182
DANIEL & JANICE JOSEPH,2,0.42,0,0.2077
DANIEL & TAMI CARPENTER,2,0.68,0,0.3422
DANIEL DENNIS & TAMI CARPENTER,2,0.95,0,0.4765
DARRELL & SHARON BRIGMAN MINOR SUB.,2,0.97,0,0.4843
DAVID H MURDOCK CORE LABORATORY,2,1.41,0,0.7062
DAVID JOHN & GEORGIA G BERRY,2,7.5,0,3.7485
DAVIS AMBURN & GROSS,2,1.09,0,0.5432
DAXIS HOLDING LLC,2,0.34,0,0.169
DELLINGER & ADAMS PROPERTIES,2,2.08,0,1.0389
DICKENS INDUSTRIAL,2,16.56,0,8.2824
DICKENS PLACE EXTENSION II,2,3.66,0,1.8293
DIVISION OF 1.045 AC,2,0.77,0,0.3851
DIVISION OF CA-SE CONSTRUCTION,2,0.67,0,0.3327
DIXIE PARK BLK 8,2,0.43,0,0.2159
DIXIE PARK BLK XI,2,0.32,0,0.1614
DKP HOLDINGS LLC,2,1.22,0,0.6099
DOMINION PINT AT HIGHLAND CREEK MAP 1,2,0.11,0,0.0551
DONALD E. WHITAKER,2,4.94,0,2.4676
DOROTHY G. EARNHARDT PROPERTY,2,2.53,0,1.2654
DOROTHY HELMINTOLLER,2,0.69,0,0.3432
DOUGLAS BRIAN MCGEE & ANGELA T MCGEE,2,1.9,0,0.9509
DPE INVESTMENTS LLC,2,51.51,0,25.7559
DREW MAHER INC,2,0.34,0,0.1703
DUBLIN,2,0.58,0,0.2897
DUBLIN M D HATLEY,2,2.89,0,1.4468
EARNHARDT EXE. PARK LLC,2,5.69,0,2.8442
EAST LAKEFIELD,2,0.52,0,0.2576
Eastover Park,2,0.5,0,0.2482
EASTOVER PARK BLK 2,2,0.54,0,0.2693
ED M COOK EST,2,0.39,0,0.1954
EDDLEMAN PLAZA BLK C,2,0.46,0,0.2307
EIGHTH DAY OF CONCORD LLC,2,0.91,0,0.4565
EMERY VILLAGE APTS,2,16.95,0,8.4764
EQUITY TRUST COMPANY FBO,2,0.66,0,0.3283
EUGENE P & CHERYL A MCLEAN,2,1.46,0,0.7316
EXC. PLAT 704 MURPHY,2,0.58,0,0.289
EXCEP PLT KELLY BRADSHAW,2,0.65,0,0.3236
EXCEPT PLAT 8560 E FRANKLIN ST,2,0.52,0,0.2579
EXCEPT. PLAT LT 3 COPPERFIELD,2,1.99,0,0.9932
EXCEPTION PLAT 830 MURPHY AVE,2,0.57,0,0.2857
EXCEPTION PLAT FOR BOBBY RAY GOODMAN SR,2,2.14,0,1.0713
EXCEPTION PLAT JOURNEY CAPITAL LLC,2,0.45,0,0.227
EXEMPT PLAT 202 GURLEY,2,0.35,0,0.1732
EXEMPTION PLAT NINA RUTH GRAVES,2,0.74,0,0.3701
F W GLASS ADDITION,2,0.63,0,0.313
FAGGART FAMILY TRUST,2,41.77,0,20.8826
FAIRVIEW,2,0.69,0,0.3453
FARM AT RIVERPOINTE PH 1B MAP 2,2,1.17,0,0.5861
FENTON-DELL PH 3 MAP 4,2,1.09,0,0.5454
FENTON-DELL PH3 MP4,2,2.53,0,1.2654
FINAL PLAT REALTICORP PH II,2,1.89,0,0.9469
FIRST BANK,2,1.97,0,0.9864
FLAMINGO PROPERTY MANAGEMENT LLC,2,1.12,0,0.5605
FLEX INVESTMENTS,2,0.39,0,0.1939
FLEX INVESTMENTS LLC,2,0.32,0,0.1603
FLOYD M ERVIN,2,3.38,0,1.6894
FOOD LION SHOPPING CENTER,2,7.09,0,3.5427
FOREST GLEN REVISED,2,1.86,0,0.9307
FOREST HILL UNITED METHODIST,2,0.51,0,0.2556
FOREST HILLS UNITED METHODIST CHURCH,2,6.01,0,3.0029
FRANK STEPLETON,2,0.54,0,0.2721
frank weddington,2,0.86,0,0.429
FRANKLIN HEIGHTS BLK I,2,0.4,0,0.1988
FRANKLIN HTS,2,0.93,0,0.4656
FRANKLIN MICAH VANDERBURG,2,0.61,0,0.3069
FRANKS TERRACE,2,1.57,0,0.7838
FUT MAIN ST & BROADWAY BLVD - TOWN OF MIDLAND,2,8.48,0,4.2388
G C HEGLAR PROPERTY,2,1.81,0,0.9029
G T CROWELL,2,0.45,0,0.2227
GADDIS BROS PROPERTY HOLDINGS,2,0.51,0,0.253
GATE HOUSE 5605 BURCK DR.,2,0.53,0,0.2632
GAY KNOLL ACRES,2,0.37,0,0.1832
GEORGE I SHINN,2,0.9,0,0.4476
GERALD M FRYE JR PROPERTY,2,16.3,0,8.1516
GIBSON MILL,2,47.89,0,23.9455
GILBERT BLACK ESTATE MINOR S/D,2,12.04,0,6.0195
Glass Add.,2,0.78,0,0.3891
Glass Addition,2,0.83,0,0.4128
GLENGROVE PH 2 PH 6 MAP 3,2,0.33,0,0.1674
GOODMAN TRUST PROPERTY,2,4.35,0,2.1765
GRACE MEADOWS SUBDIVISION,2,0.98,0,0.4913
GRAHAM PROPERTY,2,0.62,0,0.3085
GREGORY H MINOR,2,1.17,0,0.5827
GRIFFIN INDUSTRIAL,2,21.4,0,10.7012
GROFF STREETS,2,2.48,0,1.242
GROSSMAN FAMILY LEGACY TRUST PROPERTY,2,6.09,0,3.0468
GULLEDGE CLASSIC HOMES,2,0.57,0,0.2861
GULLEDGE CUSTOM HOMES INC,2,0.76,0,0.3816
HAGLER & VERBLE,2,2.94,0,1.4689
HARBOR TOWNE MAP 4 LTS 181 & 182,2,0.63,0,0.3173
HARRIS MINOR S/D,2,0.01,0,0.0069
HARRIS ROAD & POPLAR TENT ROAD,2,3.68,0,1.8396
HARRISBURG 49/GRANITE LLC,2,35.65,0,17.8253
HARRISBURG HEIGHTS BLKE,2,0.82,0,0.4125
HARRISBURG HOLDING LLC PROPERTY,2,2.28,0,1.1418
HARRISBURG MARKET,2,1.16,0,0.5806
HARRISBURG PROPERTIES,2,7.13,0,3.5631
HARRISBURG UMC PROPERTY,2,3.79,0,1.8959
HARRY E HORNE,2,0.55,0,0.2763
HAWTHORNE PH 2 MAP 3,2,0.6,0,0.2978
HAZEL B CASH PROPERTY,2,0.96,0,0.4785
HERITAGE COMMONS CONDOS,2,0.14,0,0.0706
HERITAGE OAKS ESTATES,2,4.26,0,2.1295
HICKS & GECHTER PROP,2,1.05,0,0.5251
HICKS PROPERTY,2,0.38,0,0.1918
HIGH BID REAL ESTATE,2,0.5,0,0.2523
HILEMAN PARK,2,9.34,0,4.6708
HOAGLAND,2,3.24,0,1.6199
HOLCOMB WOODS PH2 MPD,2,0.73,0,0.3628
HOYLE LEE & SHERRY F MOSS,2,0.91,0,0.4548
HTC III CONDO,2,0.28,0,0.1417
HUNTER AND SON,2,0.33,0,0.1655
IDLEWOOD TOWNHOMES,2,0.59,0,0.2942
INDEPENDENCE SQUARE FREE WILL,2,2.5,0,1.2515
INTERNAIONAL BUSINESS PARK,2,116.01,0,58.0043
"INTERNATIONAL BUS PK LT 7,8 PT 6 RECOMB",2,42.65,0,21.3249
INTERNATIONAL BUS PK Ph 1,2,24.85,0,12.4256
INTERNATIONAL BUSINESS PARK AT CONCORD PHASE II,2,12.33,0,6.1672
IRA F MILLER,2,0.96,0,0.4803
J B MCALLISTER,2,2.54,0,1.2695
J C QUERY ESTATE,2,1.95,0,0.9758
J.G.Lowe,2,0.46,0,0.229
JACK T CHAPIC,2,0.54,0,0.2714
JACKSON PK,2,0.5,0,0.2511
JACKSON TER RECOMBINATION,2,0.67,0,0.3342
JAFO HOLDINGS LLC,2,2.83,0,1.4131
JAMES E LOWE JR,2,0.79,0,0.3929
JAMES G & REBA S MORRISON PROP,2,2.63,0,1.3139
JAMES J. MOORE III & SHEILA B. PROPERTY,2,2.63,0,1.3131
JAMES J. MOORE III & SHEILA PROPERTY,2,2.6,0,1.3001
JAMES R JORDAN SR PROPERTY,2,2.46,0,1.2283
JAMES STEPLETON PROPERTY,2,0.52,0,0.2599
JAMESTOWN BLK F,2,0.41,0,0.2054
JANE CAMPBELL PROPERTY,2,4.1,0,2.0494
JAYA ONE LLC,2,0.29,0,0.143
JEFFERSON PLACE,2,1.95,0,0.9747
JIMMIE LEE SMITH ESTATE,2,3.06,0,1.5316
JIMMY A RIVADENEIRA,2,0.48,0,0.239
JIMMY W CARTER & PAMELA C CARTER S/D,2,0.51,0,0.2557
JODY DAVE PRITT,2,0.4,0,0.202
JOHN AUSTIN BUILDERS LLC,2,0.34,0,0.1716
JOHN B JARVIS,2,3.05,0,1.5228
JOHN DWIGHT MORRISON III,2,3.71,0,1.8567
JOHN R TRIECE & AILEEN J TRIECE,2,0.95,0,0.4772
JOHN W GROFF,2,0.35,0,0.1744
"JOHNNY M, GILLETTE & SANDY JOHNSON",2,0.34,0,0.1678
JOSEPH & MARLINE MAIZONET PROPERTY,2,0.35,0,0.1773
JOSEPH P WATSON,2,0.6,0,0.302
JOURNEY CAPITAL,2,1.27,0,0.6364
JOURNEY CAPITAL LLC,2,0.95,0,0.4728
KANNAOLIS SHOPPING CENTER DIVISION,2,1.53,0,0.765
KANNAPOLIS BLK 6,2,2.98,0,1.4917
KANNAPOLIS SUB,2,2.66,0,1.3296
KANNAPOLIS SUB. BLK C,2,0.79,0,0.3959
Kannapolis Sub. Sec 5 SD NW,2,0.38,0,0.1913
KANNAPOLIS SUBD SE SEC1,2,0.84,0,0.421
KANNAPOLIS SUBD SE SECT 1,2,0.51,0,0.2532
KANNAPOLIS SUBDIVISION SW 6,2,0.33,0,0.1656
KEATON GLENN TOWNHOMES PH2,2,0.04,0,0.0215
KEBL LLC PATTERSON AVE,2,1.92,0,0.96
KELLSWATER BRIDGE PH2 MP2,2,0.36,0,0.1794
KELLSWATER COMMONS  APARTMENT SITE,2,6.77,0,3.3874
KELLSWATER COMMONS APARTMENTS,2,21.78,0,10.8901
KENNETH G. & ELEANOR S. GRIFFITH SUB.,2,1.13,0,0.5651
KENNETH RAY MISENHEIMER,2,4.72,0,2.3576
KENSINGTON FOREST,2,0.82,0,0.4118
KENSLEY NORTH,2,18.92,0,9.4604
KENTON GLENN TOWNHOMES PH2,2,0.04,0,0.0215
KEVIN J HARDISTER,2,0.4,0,0.1986
KEYSTONE PROPERTIES & DEVELOPMENT LLC,2,1.07,0,0.5352
KING'S WAY BAPTIST CHURCH,2,1.76,0,0.8797
KINGS GRANT CORP,2,34.21,0,17.1028
KIRKWOOD PRESBYTERIAN CHURCH,2,1.71,0,0.8573
KP73 SUBDIVISION,2,32.34,0,16.1685
KRIMMINGER & BOGER PROP,2,1.0,0,0.5007
KRIMMINGER ACRES,2,14.99,0,7.494
KRIMMINGER AVE SE,2,0.65,0,0.326
KRISTOPHER K & KRISTEN E GURLEY,2,0.68,0,0.3415
L.T. Hartsell Property,2,0.63,0,0.3135
LAKE VIEW,2,2.36,0,1.1819
LAND OF POPLAR TENT PARTNERSHIP,2,5.79,0,2.8952
LAUREL PARK PH 2C MAP 12 REF TO 42-44,2,0.61,0,0.3031
LAUREL PARK SUBDIVISION LOTS #555- #556,2,0.62,0,0.31
LEISURE MHP,2,14.52,0,7.2617
LEWIS & PAULINE PARKER,2,0.47,0,0.2338
LILLY CONCORD,2,384.55,0,192.2747
LIncoln Heights,2,0.35,0,0.1744
LINCOLN HTS,2,0.43,0,0.2153
LITCHFIELD VILLAGE S/D PH3 MAP2,2,4.2,0,2.0984
LIVING WATER A CHURCH OF GOD FELLOWSHIP INC,2,23.82,0,11.9087
LOT #3 - SAM BLACK ROAD REVISED,2,3.54,0,1.7694
LOT 2 - ROBERTA CROSSING,2,2.78,0,1.3886
LOT 26 SHENANDOAH ESTATES,2,2.33,0,1.163
LOT 3 BETHEL ACRES,2,2.07,0,1.0363
LOT 3 MB 67 PG 107,2,0.72,0,0.358
LOT 6 DAVAULT PARK BLOCK B,2,0.28,0,0.1378
"LOTS  6, 7, & 8 AT VILLAMONT HEIGHTS",2,0.48,0,0.2407
LOTS 3 & 4 W.A. FOIL PROPERTY,2,0.54,0,0.2722
LOTS 7-9 OF THE J REID PROPERTY,2,0.6,0,0.2982
LOWE'S HOME CENTERS INC,2,1.85,0,0.9237
LT #1 PB 97/100,2,0.53,0,0.2655
LT 4 AND LT 5 MB 71/41-45,2,2.81,0,1.4074
LTS 18 & 19 DEB COMMERCIAL S/D,2,2.34,0,1.1681
LTS 22-25 PARKWOOD LAKE,2,0.42,0,0.2118
LUVINE HILLS SEC 2 REV,2,4.94,0,2.4711
MAGNOLIA CROSSING Ph 2 MP 2,2,0.39,0,0.1946
MAGNOLIA CROSSING PH1 MAP 1,2,0.29,0,0.1447
MAGNOLIA CROSSING RECOMB.,2,0.46,0,0.2313
MAGNOLIA CROSSING RECOMBINATION,2,0.29,0,0.1442
MAIN STREET CONDOMINIUMS - CHELSEA BUILDING,2,0.03,0,0.0146
MALLARD POINTE ESTATES MAP 5,2,0.42,0,0.2117
"MANCHESTER PLACE Ph 2, Map 4",2,0.42,0,0.2084
"MANCHESTER PLACE Ph 2,Map 4",2,0.49,0,0.247
"MANCHESTER PLACE, Map 2 , Map 6",2,0.75,0,0.3727
"MANCHESTER PLACE, PH 2 , MAP 4",2,0.46,0,0.2317
"MANCHESTER PLACE,PH 2, Map 4",2,0.54,0,0.2705
MARGARITO ZAVALA,2,2.37,0,1.1867
MARJORIE C SNEED EST,2,1.75,0,0.876
MARK CALEB GOODNIGHT,2,1.57,0,0.7867
MARTHA MELVIN TRUST PROPERTY,2,1.18,0,0.5913
MARVIN G WIDENHOUSE II & GATRDO LLC,2,17.57,0,8.7847
MATTIE L WINECOFF PROPERTY,2,0.46,0,0.2291
MEADOW CREEK ASSOICATES LLC,2,9.98,0,4.9889
MEADOW CREEK BUSINESS PARK,2,13.94,0,6.9713
MICHAEL TODD MCDANIEL MINOR SUBDIVISION,2,0.58,0,0.2909
MICHIGAN PACKAGING CO.,2,15.65,0,7.8274
MIDLAND BLK G,2,0.58,0,0.2876
MIDLAND INDUSTRIAL PARK,2,19.44,0,9.7192
MIDLAND LEASING,2,9.8,0,4.8998
Mike Chaudhary,2,1.03,0,0.5158
MIKE RUTKOWSKI PROPERTY,2,4.08,0,2.0415
MILTON - JULIO RAMIREZ,2,0.41,0,0.2071
MINOR SUB/WINECOFF HEIGHTS,2,1.17,0,0.5859
MINOR SUBDIVISION PLAT,2,1.31,0,0.6569
Mission Hills  Ph 3,2,0.69,0,0.3471
MOREHEAD RD BOUNDARY,2,9.07,0,4.5345
MORRIS PARK SEC 2,2,1.11,0,0.5528
MORRIS PROPERTY,2,0.96,0,0.4784
MOSS CREEK VILLAGE RECOMB,2,0.27,0,0.1336
MOUNT VERNON HEIGHTS,2,1.73,0,0.866
MRR COMMERCIAL LLC,2,9.58,0,4.7898
MRS ANNA ROGERS,2,2.42,0,1.21
MRS ANNA ROGERS PROPERTY,2,0.63,0,0.3161
MRS W M LINKER PROPERTY,2,0.32,0,0.1593
MRS WM LINKER,2,0.27,0,0.1344
MT PLEASANT NC FD LLC,2,1.51,0,0.7547
MT PLEASANT S/D,2,11.05,0,5.5249
MYRTLE PATTERSON,2,0.82,0,0.4087
NATHANIEL JAMES MCMANUS JR PROPERTY,2,9.89,0,4.9445
NIBLOCK HOMES LLC,2,21.62,0,10.8098
NIBLOCK INDUSTRIAL PARK,2,3.68,0,1.8418
NOLIM GROUP S A INC,2,30.11,0,15.0539
NOVI RISE LLC,2,1.04,0,0.5221
O'REILLY & HKB LLC,2,1.58,0,0.792
O.A. BLACKWELDER PROPERTY,2,1.16,0,0.5802
OAK GROVE MISSIONARY BAPTIST,2,4.43,0,2.2134
OAK PARK ADDITION,2,4.66,0,2.3324
ODESSA WILLIAMS,2,0.5,0,0.2483
OLD CHARLOTTE RD SW,2,10.98,0,5.4889
OLD FARM,2,1.45,0,0.7268
OLD MILL CENTRE LLC,2,19.85,0,9.9239
ORIELLY AUTO PARTS HWY 49 & CEDAR DR,2,2.8,0,1.4012
ORIELLY AUTO PARTSS,2,5.95,0,2.9773
OUT PARCEL HOLDINGS LLC,2,1.1,0,0.548
OVERCASH AND KINCAID,2,9.01,0,4.5038
P & C HOMES LLC,2,0.69,0,0.3468
PALMER (UNREC'D),2,0.43,0,0.2153
PANARA COMPOUND,2,39.27,0,19.6358
PARCEL 5554-12-4693 KELTON MCGEE,2,1.8,0,0.8982
PARK STREET COMMONS,2,0.49,0,0.2444
PARKDALE ADDITIONS,2,0.49,0,0.2453
PARKWOOD BLK G,2,0.43,0,0.2149
PARKWOOD COUNTRY CLUB PROP RECOMB. 1-3,2,0.39,0,0.1975
PARKWOOD Lake,2,0.39,0,0.1963
PATRICK STUART LLC,2,4.18,0,2.0923
PAUL & CAROLYN JEAN,2,2.46,0,1.2307
PAUL W & BERTHA E SMITH,2,0.25,0,0.1245
PAULA & DON RITCHIE,2,1.21,0,0.6037
PEDRO CAYADO JR,2,1.25,0,0.6274
PENDLETON PH 1 MAP 1 REVISED,2,0.32,0,0.1611
PENSCO TRUST COMPANY,2,0.93,0,0.4656
PERSINGER INVESTMENT GROUP,2,2.06,0,1.0294
PETER BRENT KING,2,0.5,0,0.2499
PEtrea Hts,2,0.34,0,0.1689
PETREA HTS,2,0.54,0,0.2715
PEtrea hts.,2,0.35,0,0.1729
PHILLIP & ANN CLINE,2,0.89,0,0.4433
PHILLIPS EXEMPT SUBDIVISION,2,1.46,0,0.729
PITTS ESTATE,2,3.06,0,1.5283
PLAT 1010 VIRGINIA ST,2,0.56,0,0.2778
PLAT 103.590 AC - KANNAPOLIS PKWY,2,207.43,0,103.7171
PLAT 2402 DATSUN AVE,2,0.75,0,0.3745
PLAT 2604 N MAIN ST,2,0.98,0,0.4895
PLAT 317 CHINA GROVE RD,2,2.66,0,1.3285
PLAT 4.524 AC - ROX PROPERTIES LLC,2,7.68,0,3.838
PLAT 406 E. D ST,2,0.38,0,0.1922
PLAT 414 PLEASANT AVE,2,0.54,0,0.2709
PLAT 6.978AC-ISENHOUR RD,2,6.69,0,3.3448
PLAT 702 BROAD ST,2,0.61,0,0.303
PLAT 7846/7872 FISHER RD,2,30.16,0,15.081
PLAT 921 OAKWOOD AVE,2,0.37,0,0.1842
PLAT AZALEA AVENUE,2,1.03,0,0.5151
PLAT CENTERVIEW/FRONT ST,2,0.4,0,0.1977
PLAT DUE WEST STREET,2,0.15,0,0.0741
PLAT FOR 211 COGGINS ST,2,0.43,0,0.2128
